rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
446980000000,,7620,,446,972109768,"""map""",,,-2.39577412605,-2.52722811699,3.69031524658,,-0.0090508970941,0.0117855538714,0.0194849095351,-0.999699728737
447012000000,,7621,,447,4109526,"""map""",,,-2.40953326225,-2.54004597664,3.69652104378,,-0.0087781070501,0.0116181964739,0.0196098749409,-0.999701709639
447044000000,,7622,,447,36109526,"""map""",,,-2.42261481285,-2.55193448067,3.70250034332,,-0.00834021792232,0.0112425315703,0.0198457287052,-0.999705081387
447080000000,,7623,,447,76109526,"""map""",,,-2.43806028366,-2.56560611725,3.70974206924,,-0.00772218460293,0.0106769167474,0.0200294468178,-0.999712625673
447112000000,,7624,,447,108109283,"""map""",,,-2.44974851608,-2.57566285133,3.71523094177,,-0.00750447736185,0.0105366984629,0.0200745017989,-0.999714859456
447144000000,,7625,,447,140109283,"""map""",,,-2.46087312698,-2.58497905731,3.7205619812,,-0.00698479321955,0.0101643906546,0.0202551010448,-0.999718779112
447180000000,,7626,,447,172109283,"""map""",,,-2.47338700294,-2.59731841087,3.72554373741,,-0.00651171377817,0.00948243044419,0.0204392827728,-0.999724932552
447212000000,,7627,,447,204109041,"""map""",,,-2.48522400856,-2.60870361328,3.73041605949,,-0.00641801260821,0.00932339671996,0.0205128290234,-0.999725564755
447244000000,,7628,,447,236109041,"""map""",,,-2.49642825127,-2.61924815178,3.7351231575,,-0.00611055250078,0.00915601067574,0.0206277213324,-0.999726660573
447280000000,,7629,,447,276109041,"""map""",,,-2.50955605507,-2.63129377365,3.74079918861,,-0.00565829673065,0.00890413748704,0.0207461539768,-0.999729189384
447312000000,,7630,,447,308108798,"""map""",,,-2.51946091652,-2.64006185532,3.74507808685,,-0.00533247607306,0.00869388711006,0.0208018299636,-0.999731591754
447344000000,,7631,,447,340108798,"""map""",,,-2.52885055542,-2.64810109138,3.74925899506,,-0.00481950628593,0.00836253171516,0.0208865029823,-0.99973525853
447376000000,,7632,,447,372108798,"""map""",,,-2.5400929451,-2.65908551216,3.75317192078,,-0.0044308733239,0.00834529316021,0.020939439424,-0.999736101467
447412000000,,7633,,447,404108556,"""map""",,,-2.55068016052,-2.66918992996,3.7571310997,,-0.00432886198079,0.00824179910415,0.0209845365519,-0.999736438642
447444000000,,7634,,447,436108556,"""map""",,,-2.56069302559,-2.67846679688,3.76096320152,,-0.00424852169109,0.00788134394452,0.0210461130976,-0.999738419544
447476000000,,7635,,447,468108556,"""map""",,,-2.57017993927,-2.68696188927,3.76477503777,,-0.00391638279286,0.00756710692019,0.0210630982776,-0.999741833439
447512000000,,7636,,447,508108312,"""map""",,,-2.58129835129,-2.6965637207,3.76947569847,,-0.00368913406504,0.00737583875939,0.0210820222125,-0.999743730047
447544000000,,7637,,447,540108312,"""map""",,,-2.58965921402,-2.70349431038,3.77316617966,,-0.00310518503374,0.00670352721383,0.021167875343,-0.999748661228
447576000000,,7638,,447,572108312,"""map""",,,-2.59966945648,-2.71347880363,3.77683281898,,-0.00275966088911,0.00615280060051,0.0212363639718,-0.999751737948
447612000000,,7639,,447,604108069,"""map""",,,-2.60907959938,-2.72257351875,3.78052639961,,-0.00267149132839,0.00603092212206,0.0212459734533,-0.999752580885
447644000000,,7640,,447,644108069,"""map""",,,-2.62002420425,-2.73287963867,3.78511166573,,-0.00236523290005,0.00592077166274,0.0211947228855,-0.999755025402
447676000000,,7641,,447,668108069,"""map""",,,-2.62618541718,-2.73852515221,3.78780508041,,-0.0018852290278,0.00521175498658,0.021206819031,-0.999759787996
447712000000,,7642,,447,708107825,"""map""",,,-2.63584542274,-2.74705839157,3.79204201698,,-0.00157132078182,0.00495288624421,0.0212157541629,-0.99976147387
447744000000,,7643,,447,740107825,"""map""",,,-2.64304637909,-2.75314760208,3.79543542862,,-0.000965531121916,0.00486317717107,0.0212186201486,-0.999762569688
447776000000,,7644,,447,772107825,"""map""",,,-2.65154504776,-2.76203107834,3.79859399796,,-0.000509538934884,0.00460048854128,0.0212112865969,-0.999764339856
447812000000,,7645,,447,804107581,"""map""",,,-2.65950107574,-2.77010297775,3.80166840553,,-0.000327718418225,0.00433442240135,0.0212436132297,-0.999764887765
447844000000,,7646,,447,836107581,"""map""",,,-2.66694140434,-2.77742028236,3.80476784706,,-9.78718969596e-05,0.00423959890692,0.0212249421758,-0.999765772849
447876000000,,7647,,447,868107581,"""map""",,,-2.67392349243,-2.78399372101,3.80767512321,,0.000331448414318,0.00430893376544,0.021253559886,-0.999764803471
447912000000,,7648,,447,908107337,"""map""",,,-2.6820268631,-2.79128313065,3.81122040749,,0.000642216390816,0.00408883880661,0.0212459313064,-0.999765772849
447944000000,,7649,,447,940107337,"""map""",,,-2.68809103966,-2.796459198,3.81296372414,,0.00294808133883,0.00124396275207,0.0212097271635,-0.999769945387
